job_id,category,job_title,job_description,job_skill_set
4000000001,INFORMATION-TECHNOLOGY,Machine Learning Engineer,"The Machine Learning Engineer develops, evaluates, and deploys production machine learning models. Responsibilities include feature engineering, model validation, experiment tracking, API integration, monitoring, and collaboration with software and data teams. A Bachelor's degree in Computer Science, Artificial Intelligence, Data Science, or a related field is required. Minimum of 2 years of experience in machine learning or applied data science is required.","['Python', 'Machine Learning', 'scikit-learn', 'Pandas', 'NumPy', 'SQL', 'Docker', 'Git', 'Model Deployment', 'Statistics']"
4000000002,INFORMATION-TECHNOLOGY,AI Engineer,"The AI Engineer designs and implements artificial intelligence solutions for business and technical problems. The role includes model development, data preparation, evaluation, deployment, and integration of AI services into applications. A Bachelor's degree in Computer Science, Artificial Intelligence, Engineering, or a related field is required. Minimum of 2 years of experience building and deploying AI or machine learning systems is required.","['Python', 'Artificial Intelligence', 'Machine Learning', 'Deep Learning', 'TensorFlow', 'PyTorch', 'SQL', 'Docker', 'Git', 'Model Deployment']"
4000000003,INFORMATION-TECHNOLOGY,Data Scientist,"The Data Scientist analyzes structured and unstructured data to produce predictive models, experiments, and decision-support insights. Responsibilities include statistical analysis, feature engineering, model evaluation, visualization, and communicating findings to stakeholders. A Master's degree in Data Science, Statistics, Computer Science, or a related field is preferred, with a Bachelor's degree required. Minimum of 2 years of experience in data analysis, statistics, or machine learning is required.","['Python', 'Machine Learning', 'Statistics', 'Pandas', 'NumPy', 'SQL', 'scikit-learn', 'Data Analysis', 'Data Visualization', 'A/B Testing']"
4000000004,INFORMATION-TECHNOLOGY,Data Analyst,"The Data Analyst prepares, validates, and analyzes business data to support reporting and operational decisions. The role includes SQL querying, dashboard creation, data visualization, trend analysis, and communication of actionable findings. A Bachelor's degree in Business Analytics, Statistics, Computer Science, or a related field is required. Minimum of 1 year of experience working with data, reporting, or analytics is required.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Data Analysis', 'Data Visualization', 'Statistics', 'Communication']"
4000000005,INFORMATION-TECHNOLOGY,Data Engineer,"The Data Engineer builds reliable data pipelines and platforms for collecting, transforming, storing, and serving analytical data. Responsibilities include batch processing, workflow orchestration, data quality, warehouse design, and collaboration with analysts and data scientists. A Bachelor's degree in Computer Science, Information Technology, Engineering, or a related field is required. Minimum of 2 years of experience in data engineering or software development is required.","['Python', 'SQL', 'Hadoop', 'Spark', 'Airflow', 'Docker', 'AWS', 'Azure', 'GCP', 'Git', 'ETL', 'Data Warehousing']"
4000000006,INFORMATION-TECHNOLOGY,NLP Engineer,"The NLP Engineer develops language-processing systems for classification, information extraction, search, and conversational applications. The role includes text preprocessing, dataset preparation, model fine-tuning, evaluation, and production deployment. A Master's degree in Computer Science, Natural Language Processing, Artificial Intelligence, or a related field is preferred. Minimum of 2 years of experience in NLP or machine learning is required.","['Python', 'NLP', 'Natural Language Processing', 'Machine Learning', 'Deep Learning', 'PyTorch', 'TensorFlow', 'SQL', 'Docker', 'Git', 'Statistics']"
4000000007,INFORMATION-TECHNOLOGY,Computer Vision Engineer,"The Computer Vision Engineer builds systems that interpret images and video for inspection, recognition, detection, and measurement applications. Responsibilities include image preprocessing, model training, evaluation, optimization, and deployment to production services. A Bachelor's degree in Computer Science, Computer Vision, Electrical Engineering, or a related field is required. Minimum of 2 years of experience in computer vision or deep learning is required.","['Python', 'Computer Vision', 'OpenCV', 'Deep Learning', 'PyTorch', 'TensorFlow', 'Machine Learning', 'Docker', 'Git', 'Model Deployment']"
4000000008,INFORMATION-TECHNOLOGY,Generative AI Engineer,"The Generative AI Engineer develops applications using large language models and generative AI workflows. Responsibilities include prompt design, retrieval-augmented generation, evaluation, text processing, model integration, API development, and monitoring of AI outputs. A Master's degree in Computer Science, Artificial Intelligence, or a related field is preferred, with a Bachelor's degree required. Minimum of 2 years of experience in NLP, machine learning, or production AI applications is required.","['Python', 'NLP', 'Natural Language Processing', 'Machine Learning', 'Deep Learning', 'PyTorch', 'SQL', 'REST API', 'Docker', 'Git', 'Model Deployment']"
4000000009,INFORMATION-TECHNOLOGY,Python Developer,"The Python Developer designs, implements, tests, and maintains Python applications and services. The role includes building REST APIs, integrating databases, writing automated tests, reviewing code, and collaborating with frontend and operations teams. A Bachelor's degree in Computer Science, Software Engineering, or a related field is required. Minimum of 2 years of experience developing Python software is required.","['Python', 'Django', 'Flask', 'FastAPI', 'REST API', 'SQL', 'PostgreSQL', 'Git', 'Docker', 'Linux', 'Testing']"
4000000010,INFORMATION-TECHNOLOGY,Software Engineer,"The Software Engineer develops maintainable software products across the design, implementation, testing, and release lifecycle. Responsibilities include requirements analysis, object-oriented programming, debugging, code review, API integration, and collaborative agile delivery. A Bachelor's degree in Computer Science, Software Engineering, or a related field is required. Minimum of 2 years of experience in software development is required.","['Python', 'Java', 'JavaScript', 'SQL', 'REST API', 'Git', 'Docker', 'Linux', 'Agile', 'Scrum', 'Testing']"
4000000011,INFORMATION-TECHNOLOGY,Backend Developer,"The Backend Developer builds secure and scalable server-side services, APIs, and data integrations. The role includes request handling, authentication, database access, performance tuning, testing, logging, and deployment support. A Bachelor's degree in Computer Science, Information Technology, or a related field is required. Minimum of 2 years of experience developing backend services is required.","['Python', 'Django', 'Flask', 'FastAPI', 'REST API', 'SQL', 'PostgreSQL', 'Redis', 'Docker', 'Linux', 'Git', 'Microservices']"
4000000012,INFORMATION-TECHNOLOGY,Full Stack Developer,"The Full Stack Developer delivers features across browser interfaces, backend APIs, databases, and deployment workflows. Responsibilities include responsive frontend development, service integration, testing, debugging, and collaboration with product teams. A Bachelor's degree in Computer Science, Software Engineering, or a related field is required. Minimum of 2 years of experience in full stack web development is required.","['Python', 'JavaScript', 'TypeScript', 'React', 'HTML', 'CSS', 'Node.js', 'REST API', 'SQL', 'PostgreSQL', 'Git', 'Docker']"
4000000013,INFORMATION-TECHNOLOGY,Cloud Engineer,"The Cloud Engineer designs, provisions, secures, and operates reliable cloud infrastructure. Responsibilities include infrastructure automation, networking, identity and access management, monitoring, cost awareness, backup, and incident response. A Bachelor's degree in Computer Science, Information Technology, Engineering, or a related field is required. Minimum of 2 years of experience operating cloud infrastructure is required.","['AWS', 'Azure', 'GCP', 'Docker', 'Kubernetes', 'Linux', 'Terraform', 'Git', 'Networking', 'Security', 'CI/CD', 'Monitoring']"
4000000014,INFORMATION-TECHNOLOGY,DevOps Engineer,"The DevOps Engineer improves software delivery through automation, continuous integration, continuous deployment, infrastructure management, and production observability. The role includes release pipelines, container orchestration, configuration management, incident response, and collaboration with developers. A Bachelor's degree in Computer Science, Information Technology, or a related field is required. Minimum of 2 years of experience in DevOps, cloud operations, or site reliability is required.","['AWS', 'Azure', 'Docker', 'Kubernetes', 'Linux', 'CI/CD', 'Git', 'Terraform', 'Python', 'Monitoring', 'MLOps', 'Security']"
4000000015,INFORMATION-TECHNOLOGY,Cybersecurity Analyst,"The Cybersecurity Analyst monitors systems, investigates alerts, supports vulnerability management, and helps protect applications and data. Responsibilities include log analysis, incident response, security controls, access review, risk reporting, and security awareness collaboration. A Bachelor's degree in Cybersecurity, Computer Science, Information Technology, or a related field is required. Minimum of 1 year of experience in security operations, system administration, or a related technical role is required.","['Cybersecurity', 'Security', 'Linux', 'Python', 'SQL', 'Networking', 'Incident Response', 'Risk Management', 'Communication', 'Git']"
4000000016,INFORMATION-TECHNOLOGY,Database Engineer,"The Database Engineer designs, maintains, and improves reliable database systems and data access services. The role includes schema design, query optimization, backup and recovery, monitoring, migration, access control, and troubleshooting. A Bachelor's degree in Computer Science, Information Technology, or a related field is required. Minimum of 2 years of experience in database administration, development, or engineering is required.","['SQL', 'PostgreSQL', 'MySQL', 'MongoDB', 'Database Design', 'Data Warehousing', 'Linux', 'Python', 'Git', 'Security', 'Performance Tuning']"
4000000017,INFORMATION-TECHNOLOGY,SQL Developer,"The SQL Developer writes and optimizes queries, procedures, views, and data transformations for business applications and reporting systems. Responsibilities include relational data modeling, testing, performance analysis, data quality, and collaboration with analysts and application developers. A Bachelor's degree in Computer Science, Information Technology, Statistics, or a related field is required. Minimum of 1 year of experience developing SQL solutions is required.","['SQL', 'PostgreSQL', 'MySQL', 'Database Design', 'Data Analysis', 'Data Warehousing', 'Python', 'Excel', 'Performance Tuning', 'Git']"
